2026-04-09 21:42:53 | Process-3 | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-09 22:07:54 | MainProcess | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-09 22:07:54 | SyncManager-1 | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-09 22:08:01 | preview_gui | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-09 22:08:02 | Process-3 | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 08:54:16 | MainProcess | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 08:54:17 | SyncManager-1 | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 08:54:35 | preview_gui | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 08:54:37 | Process-3 | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 08:55:34 | MainProcess | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 08:55:35 | SyncManager-1 | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 08:55:39 | preview_gui | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 08:55:41 | Process-3 | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 11:10:32 | MainProcess | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 11:10:33 | SyncManager-1 | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 11:10:41 | preview_gui | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 11:10:43 | Process-3 | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 12:00:57 | MainProcess | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 12:00:58 | SyncManager-1 | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
2026-04-10 12:01:03 | preview_gui | INFO | log_setup | LOG start → C:\Users\Hyperbook\python_project\VolleyHub\VolleyHub_v4.1_testowa\logs\volleyhub.log
